1002036,HS-125-800XPC,25,290,02/27/2001 18:20
1002037,HS-125-800XPC,50,342,02/27/2001 18:20
1002038,HS-125-800XPC,100,385,02/27/2001 18:20
1002039,HS-125-800XPC,250,422,02/27/2001 18:20
1002040,HS-125-800XPC,500,427,02/27/2001 18:20
1002045,MD-2000,250,440,01/29/2003 18:52
1002046,MD-2000,500,465,01/29/2003 18:52
1002047,EC-120B,10,200,01/29/2003 18:52
1002048,EC-120B,50,300,01/29/2003 18:52
1002049,EC-120B,75,380,01/29/2003 18:52
1002050,EC-120B,100,400,01/29/2003 18:52
1002051,EC-120B,250,440,01/29/2003 18:52
1002052,EC-120B,500,465,01/29/2003 18:52
1002059,LR-36A,10,200,01/29/2003 18:52
1002060,LR-36A,50,300,01/29/2003 18:52
1002061,LR-36A,75,380,01/29/2003 18:52
1002062,LR-36A,100,400,01/29/2003 18:52
1002063,LR-36A,250,440,01/29/2003 18:52
1002064,LR-36A,500,465,01/29/2003 18:52
1002065,AS-365 N2,10,200,01/29/2003 18:52
1002066,AS-365 N2,50,300,01/29/2003 18:52
1002067,AS-365 N2,75,380,01/29/2003 18:52
1002068,AS-365 N2,100,400,01/29/2003 18:52
1002069,AS-365 N2,250,440,01/29/2003 18:52
1002070,AS-365 N2,500,465,01/29/2003 18:52
1002077,B-757-200,10,200,01/29/2003 18:52
1002078,B-757-200,50,300,01/29/2003 18:52
1002079,B-757-200,75,380,01/29/2003 18:52
1002080,B-757-200,100,400,01/29/2003 18:52
1002081,B-757-200,250,440,01/29/2003 18:52
1002082,B-757-200,500,465,01/29/2003 18:52
1002089,LR-55C,10,200,01/29/2003 18:52
1002090,LR-55C,50,300,01/29/2003 18:52
1002091,LR-55C,75,380,01/29/2003 18:52
1002092,LR-55C,100,400,01/29/2003 18:52
1002093,LR-55C,250,440,01/29/2003 18:52
1002094,LR-55C,500,465,01/29/2003 18:52
1002101,DA-20,10,200,01/29/2003 18:52
1002102,DA-20,50,300,01/29/2003 18:52
1002103,DA-20,75,380,01/29/2003 18:52
1002104,DA-20,100,400,01/29/2003 18:52
1002105,DA-20,250,440,01/29/2003 18:52
1002106,DA-20,500,465,01/29/2003 18:52
1002113,DA-10,10,200,01/29/2003 18:52
1002114,DA-10,50,300,01/29/2003 18:52
1002115,DA-10,75,380,01/29/2003 18:52
1002116,DA-10,100,400,01/29/2003 18:52
1002117,DA-10,250,440,01/29/2003 18:52
1002118,DA-10,500,465,01/29/2003 18:52
1002119,C-208,10,200,01/29/2003 18:52
1002120,C-208,50,300,01/29/2003 18:52
1002121,C-208,75,380,01/29/2003 18:52
1002122,C-208,100,400,01/29/2003 18:52
1002123,C-208,250,440,01/29/2003 18:52
1002124,C-208,500,465,01/29/2003 18:52
