4096,Tecumseh Muni Arpt,0G3,1,Approved,,,2012-01-25 03:18:24.0
58,Bryan Air Service,0G6,1,Approved,,,2013-11-14 13:45:38.0
59,Finger Lakes Regional Airport,0G7,1,Approved,uNMANNED,UNMANNED,2012-01-25 03:18:24.0
11156,Fbo Facility Not Available,0H1,1,Approved,,,2012-01-25 03:18:24.0
1145072,Unknown,0H7,1,Approved,,,2012-01-25 03:18:24.0
60,Hoosier Aviation,0I2,1,Approved,,,2012-01-25 03:18:24.0
62,Cynthiana Aviation,0I8,1,Approved,,,2012-01-25 03:18:24.0
11157,Unknown,0J0,1,Approved,,,2012-01-25 03:18:24.0
63,Wireglass Airplane,0J4,1,Approved,,,2012-01-25 03:18:24.0
64,Aero Star World,0J6,1,Approved,,,2012-01-25 03:18:24.0
11158,Unknown,0J8,1,Approved,,,2012-01-25 03:18:24.0
1145073,Unknown,0J9,1,Approved,,,2012-01-25 03:18:24.0
11160,Unknown,0K6,1,Approved,,,2012-01-25 03:18:24.0
65,Humboldt Muni,0K7,1,Approved,,,2012-01-25 03:18:24.0
14840,Unknown,0L2,1,Approved,,,2012-01-25 03:18:24.0
11161,Unknown,0L4,1,Approved,,,2012-01-25 03:18:24.0
11162,Unknown,0L5,1,Approved,,,2012-01-25 03:18:24.0
11163,Jean Airport (No Fbo Facility On Field),0L7,1,Approved,Call Ahead to confirm,Call Ahead to confirm,2013-01-28 17:58:50.0
1145074,Unknown,0L8,1,Approved,,,2012-01-25 03:18:24.0
11164,Unknown,0L9,1,Approved,,,2012-01-25 03:18:24.0
66,Dumas Aviation Maintenance,0M0,1,Approved,,,2013-04-05 19:00:38.0
11165,Unknown,0M2,1,Approved,,,2012-01-25 03:18:24.0
11166,Fbo Facility Not Available,0M3,1,Approved,,,2012-01-25 03:18:24.0
68,Benton Co Airport,0M4,1,Approved,Tuesday-Sat 0800-1400,,2013-11-14 13:45:38.0
69,Humphreys County Airpot,0M5,1,Approved,,,2012-01-25 03:18:24.0
71,Lake Providence Fly,0M8,1,Approved,,,2012-01-25 03:18:24.0
72,Delhi Flying Service,0M9,1,Approved,,,2012-01-25 03:18:24.0
11167,Unknown,0MT0,1,Approved,,,2012-01-25 03:18:24.0
3925,Liberty Aviation,0N0,1,Approved,,,2012-01-25 03:18:24.0
73,R-J-R Airdrome,0N4,1,Approved,,,2012-01-25 03:18:24.0
11168,Unknown,0N6,1,Approved,,,2012-01-25 03:18:24.0
11169,Unknown,0O2,1,Approved,,,2012-01-25 03:18:24.0
76,Corning Aero,0O4,1,Approved,,,2012-01-25 03:18:24.0
11170,Unknown,0O9,1,Approved,,,2012-01-25 03:18:24.0
4683,Frank'S Flight Svc,0P1,1,Approved,,,2012-01-25 03:18:24.0
1149423,Aero Shellville,0Q3,1,Approved,,,2012-01-25 03:18:24.0
80,Selma Aerodrome,0Q4,1,Approved,,,2012-01-25 03:18:24.0
11171,Unknown,0Q5,1,Approved,,,2012-01-25 03:18:24.0
11172,Unknown,0Q6,1,Approved,,,2012-01-25 03:18:24.0
81,Sonoma Sky Park,0Q9,1,Approved,,,2012-01-25 03:18:24.0
1152355,Pete Kendrick Aircraft,0R0,1,Approved,Mon - Sat 0900-1700,Mon - Sat 0900-1700,2012-01-25 03:18:24.0
83,Atmore Flying Service,0R1,1,Approved,Mon - Sat 0700-1700,Mon - Sat 0700-1700,2013-04-03 19:25:50.0
1145075,Unknown,0R2,1,Approved,,,2012-01-25 03:18:24.0
85,Concordia Parish Apt,0R4,1,Approved,,,2012-01-25 03:18:24.0
11173,Unknown,0R5,1,Approved,,,2012-01-25 03:18:24.0
11174,Unattended Airport,0R6,1,Approved,,,2012-01-25 03:18:24.0
11175,Fbo Facility Not Available,0R7,1,Approved,,,2012-01-25 03:18:24.0
16587,Unknown,0R9,1,Approved,,,2012-01-25 03:18:24.0
11176,Unknown,0S0,1,Approved,,,2012-01-25 03:18:24.0
11177,Unknown,0S1,1,Approved,,,2012-01-25 03:18:24.0
88,Keystone Aircraft,0S2,1,Approved,,,2012-01-25 03:18:24.0
11178,Unknown,0S5,1,Approved,,,2012-01-25 03:18:24.0
90,Dorthy Scott Airport,0S7,1,Approved,,,2012-01-25 03:18:24.0
11179,Unknown,0S9,1,Approved,,,2012-01-25 03:18:24.0
1145076,Unknown,0T3,1,Approved,,,2012-01-25 03:18:24.0
1145077,Unknown,0T7,1,Approved,,,2012-01-25 03:18:24.0
1164339,Santa Maria Ranch (Ppr),0TE5,1,Approved,PPR,PPR,2012-12-21 13:43:17.0
1145078,Fbo Facility Not Available,0TE7,1,Approved,,,2012-01-25 03:18:24.0
11180,Unknown,0U0,1,Approved,,,2012-01-25 03:18:24.0
11181,Unknown,0U1,1,Approved,,,2012-01-25 03:18:24.0
11182,Unknown,0U2,1,Approved,,,2012-01-25 03:18:24.0
11183,Unknown,0U3,1,Approved,,,2012-01-25 03:18:24.0
11184,Unknown,0U7,1,Approved,,,2012-01-25 03:18:24.0
11185,Unknown,0U8,1,Approved,,,2012-01-25 03:18:24.0
11186,Unknown,0U9,1,Approved,,,2012-01-25 03:18:24.0
92,Keck Aero,0V3,1,Approved,,,2012-01-25 03:18:24.0
6530,Brookneal Ramp,0V4,1,Approved,,,2012-01-25 03:18:24.0
11188,Unknown,0V6,1,Approved,,,2012-01-25 03:18:24.0
7808,Airport/ Jim Pomorey (No Fuel),0V7,1,Approved,,,2012-01-25 03:18:24.0
1145079,Fbo Facility Not Available,0VG,1,Approved,,,2012-01-25 03:18:24.0
93,Windstar Aviation,0W3,1,Approved,,,2012-01-25 03:18:24.0
11189,Unknown,0XS7,1,Approved,,,2012-01-25 03:18:24.0
11190,Unknown,0Y4,1,Approved,,,2012-01-25 03:18:24.0
11191,Unknown,0Y6,1,Approved,,,2012-01-25 03:18:24.0
95,Galt Flying Service,10C,1,Approved,,,2012-01-25 03:18:24.0
11192,Unknown,10D,1,Approved,,,2012-01-25 03:18:24.0
11193,Unknown,10F,1,Approved,,,2012-01-25 03:18:24.0
96,Parks Aviation,10G,1,Approved,,,2012-01-25 03:18:24.0
11195,Unknown,10K,1,Approved,,,2012-01-25 03:18:24.0
11196,Unknown,10U,1,Approved,,,2012-01-25 03:18:24.0
11197,Fbo Facility Not Available,11A,1,Approved,,,2012-01-25 03:18:24.0
11198,Unknown,11G,1,Approved,,,2012-01-25 03:18:24.0
11200,Unknown,11M,1,Approved,,,2012-01-25 03:18:24.0
5592,Candlelight Flying Service,11N,1,Approved,,,2012-01-25 03:18:24.0
10900,Southern Flyers,11R,1,Approved,0700-1900 / 7 days a week,0700-1800 / 7 days a week,2013-11-14 13:46:21.0
11201,Unknown,11S,1,Approved,,,2012-01-25 03:18:24.0
11202,Unknown,11V,1,Approved,,,2012-01-25 03:18:24.0
11203,Unknown,11Z,1,Approved,,,2012-01-25 03:18:24.0
11204,Unknown,12D,1,Approved,,,2012-01-25 03:18:24.0
101,Shelby Community Apt,12G,1,Approved,,,2012-01-25 03:18:24.0
102,Aviation Specialist Llc.,12J,1,Approved,,,2013-11-14 13:45:38.0
103,Butler Air Service,12K,1,Approved,,,2012-01-25 03:18:24.0
15127,Unknown,12LS,1,Approved,,,2012-01-25 03:18:24.0
11205,Unknown,12N,1,Approved,,,2012-01-25 03:18:24.0
11207,Unknown,12S,1,Approved,,,2012-01-25 03:18:24.0
104,Ona Airpark,12V,1,Approved,,,2012-01-25 03:18:24.0
105,Scott'S Helicopter Services,12Y,1,Approved,,,2012-01-25 03:18:24.0
