CitationAir,Light Cabin,Citation Excel/XLS,Citation XLS/Excel,Citation Excel/XLS,8,2;174 sm w/2 pax @ LRC,480 mph,"Non
Peak 25hrs: $174;700",CitationAirExcel.pdf
CitationAir,Midsize Cabin,Citation Sovereign,Citation Sovereign,Citation Sovereign,9,3;243 sm w/2 pax @ LRC,495 mph,"Non
Peak 25hrs: $212;450",CitationAirSovereign.pdf
CitationAir,Super Midsize Cabin,Citation X,Citation X,Citation X,8,3;403sm w/2pax @ LRC,590 mph,"Non
Peak 25hrs: $238;000",CitationAirCitationX.pdf
Avantair,TPROP-VLJ,Avanti P180,N/A,Avanti P180,7,1;635 sm w/2 pax @ LRC,420 mph,1/16th Acq: $425;000,AvantairP180.pdf
Avantair,TPROP-VLJ,Avanti P180-II,N/A,Avanti P180-II,7,1;517 sm w/2 pax @ LRC,442 mph,1/16th Acq: $425;000,AvantairP180 II.pdf
XOJet,Midsize Cabin,Hawker 800XP,Hawker 900XP/800XP,Hawker 800XP,8,2;900 sm w/2pax @ LRC,500 mph,Varies,XOJETH800XP.pdf
XOJet,Super Midsize Cabin,Citation X,Citation X,Citation X,8,3;400 sm w/2 pax @ LRC,590 mph,Varies,XOJETCX.pdf
XOJet,Super Midsize Cabin,Challenger 300,Sovereign & G200,Challenger 300,8,3;650 w/2 pax @ LRC,540 mph,Varies,XOJETCL300.pdf
NetJets,Light Cabin,Hawker 400XP,Light Cabin Category,Hawker 400XP,7,1;471 sm w/2 pax @ LRC,511 mph,1/16th MMF: $8;626,H400XP.pdf
NetJets,Light Cabin,Citation Encore+/Encore,Light Cabin Category,Citation Encore+/Encore,7,1;940 sm w/2 pax @ LRC,480 mph,1/16th MMF: $9;863,Encore.pdf
NetJets,Light Cabin,Phenom 300 Platinum Ed.,Light Cabin Category,Phenom 300 Platinum Ed.,6,2;038 sm w/2pax (Prelim),495 mph,1/16th Acq: $550;000,Phenom 300.pdf
NetJets,Light Cabin,Citation XLS/Excel,Light Cabin Category,Citation XLS/Excel,7,2;004 sm w/2 pax @ LRC,480 mph,1/16th MMF: $12;288,Excel.pdf
NetJets,Midsize Cabin,NJE Hawker 750,Available only with NetJets Europe,NJE Hawker 750,8,2;333 sm w/2 pax @ LRC,500 mph,,NJEH750.pdf
NetJets,Midsize Cabin,Hawker 800XPC,Midsize Cabin Category,Hawker 800XPC,Up to 8,2;908 sm w/2 pax @ LRC,500 mph,1/16th MMF: $12;695,H800XPC.pdf
NetJets,Midsize Cabin,Hawker 900XP,Midsize Cabin Category,Hawker 900XP,8,3;241 sm w/2 pax @ LRC,505 mph,1/16th MMF: $12;695,H900XP.pdf
NetJets,Midsize Cabin,Citation Sovereign,Midsize Cabin Category,Citation Sovereign,8,3;243 sm w/2 pax @ LRC,495 mph,1/16th MMF: $13;205,Sovereign.pdf
NetJets,Super Midsize Cabin,Citation X,"Super
Midsize Cabin Category",Citation X,8,3;403 sm w/2 pax @ LRC,590 mph,1/16th MMF: $15;563,Citation X.pdf
NetJets,Super Midsize Cabin,Gulfstream G200,"Super
Midsize Cabin Category",Gulfstream G200,9,3;835 sm w/2 pax @ LRC,540 mph,1/16th MMF: $17;245,G200.pdf
NetJets,Large Cabin,Falcon 2000EX/2000,Large Cabin Category,Falcon 2000EX/2000,10,Up to 4;349 sm (F2000EX),528 mph,1/16th MMF: $18;406,F2000.pdf
NetJets,Large Cabin,"Gulfstream G450/GIV
SP",Large Cabin Category,"Gulfstream G450/GIV
SP","13 (GIV
SP) or 14 (G450)",Up to 4;989 sm (G450),528 mph,1/16th MMF: $21;780,G450.pdf
NetJets,Large Cabin,NJE Falcon 7X,Available only with NetJets Europe,NJE Falcon 7X,14,6;457 sm w/2pax @ LRC,560 mph,,NJEFalcon 7X.pdf
NetJets,Large Cabin,Global 5000,Large Cabin Category,Global 5000,13,6;272 sm w/2pax (Prelim),560 mph,1/16th Acq: $2;734;375,Global 5000.pdf
NetJets,Large Cabin,Gulfstream G550/GV,Large Cabin Category,Gulfstream G550/GV,14,Up to 7;697 sm (G550),560 mph,1/16th MMF: $24;478,G550.pdf
NetJets,Large Cabin,Global 6000,Large Cabin Category,Global 6000,13,7;078 sm w/2 pax (Prelim),560 mph,1/16th Acq: $3;109;375,Global 6000.pdf
