OMAZ,,,ZIRKU,ZIRKU,,ARE,Asia/Dubai,14,3937,89508,191073,0,0,0,NO
OMDB,DXB,OMSJ,DUBAI INTL,DUBAI,,ARE,Asia/Dubai,62,14590,90910,199312,1,1,1,NO
OMDW,DWC,OMDB,AL MAKTOUM INTL,DUBAI,,ARE,Asia/Dubai,170,14764,89706,198632,1,1,1,NO
OMFJ,FJR,OMRK,FUJAIRAH INTL,FUJAIRAH,,ARE,Asia/Dubai,153,12300,90404,202767,1,1,1,NO
OMRK,RKT,OMDB,RAS AL KHAIMAH INTL,RAS AL KHAIMAH,,ARE,Asia/Dubai,94,12336,92208,201380,1,1,1,NO
OMRS,,,AL SAQR FIELD,AL SAQR FIELD,,ARE,Asia/Dubai,15,2625,92710,201454,0,0,0,NO
OMSJ,SHJ,OMDB,SHARJAH INTL,SHARJAH,,ARE,Asia/Dubai,116,13330,91185,199858,1,1,1,NO
OMUQ,,,UMM AL QUWAIN,UMM AL QUWAIN,,ARE,Asia/Dubai,15,5905,92078,200344,0,0,0,NO
AGR,,,ALTA GRACIA,ALTA GRACIA,,ARG,America/Argentina/Cordoba,1748,3488,-113940,-231840,0,0,0,NO
APO,,,APOSTOLES,APOSTOLES,,ARG,America/Argentina/Cordoba,580,5906,-100438,-200762,0,0,0,NO
ARY,,,ARCOR,ARROYITO,,ARG,America/Argentina/Cordoba,475,3937,-113098,-226923,0,0,0,NO
BAL,,,BALCARCE,BALCARCE,,ARG,America/Argentina/Buenos_Aires,393,3425,-136486,-210030,0,0,0,NO
CZU,,,AEROCLUB,CURUZU CUATIA,,ARG,America/Argentina/Cordoba,262,5249,-107158,-209102,0,0,0,NO
HZA,,,EL ARAZA,MAIPU,,ARG,America/Argentina/Buenos_Aires,55,2789,-132390.66,-207498.12,0,0,0,NO
OLC,,,AEROCLUB OLAVARRIA,OLAVARRIA,,ARG,America/Argentina/Buenos_Aires,606,3937,-133079,-217022,0,0,0,NO
OVJ,,,LAS OVEJAS,LAS OVEJAS,,ARG,America/Argentina/Salta,3936,3934,-133198,-254644,0,0,0,NO
RES,,,AEROCLUB,RESISTENCIA,,ARG,America/Argentina/Cordoba,164,3839,-99780,-213240,0,0,0,NO
SA02,,SASA,CAFAYATE,CAFAYATE,,ARG,America/Argentina/Salta,5375,6890,-93831,-237350,0,0,0,NO
SAAC,COC,,COMODORO PIERRESTEGUI,CONCORDIA,,ARG,America/Argentina/Cordoba,112,5249,-112669,-208788,0,1,0,NO
SAAG,GHU,,GUALEGUAYCHU,GUALEGUAYCHU,,ARG,America/Argentina/Cordoba,75,4364,-118837,-211007,1,0,0,NO
SAAI,,,PUNTA INDIO NS,PUNTA INDIO,,ARG,America/Argentina/Buenos_Aires,52,6955,-127272,-206244,0,0,0,NO
SAAJ,JNI,,JUNIN,JUNIN,,ARG,America/Argentina/Buenos_Aires,262,4921,-124348,-219364,1,1,0,NO
SAAP,PRA,,GEN URQUIZA,PARANA,,ARG,America/Argentina/Cordoba,242,6890,-114457,-217732,1,1,0,NO
SAAR,ROS,SAEZ,ISLAS MALVINAS,ROSARIO,,ARG,America/Argentina/Cordoba,85,9843,-118453,-218826,1,1,1,NO
SAAV,SFN,,SAUCE VIEJO,SANTA FE,,ARG,America/Argentina/Cordoba,56,7628,-114159.03,-218920.56,1,1,0,NO
SABE,AEP,SAEZ,JORGE NEWBERY AEROPARQUE,BUENOS AIRES,,ARG,America/Argentina/Buenos_Aires,18,6890,-124412,-210299,1,1,1,NO
SACA,,,CAPITAN D. OMAR DARIO GELLARDI,CORDOBA,,ARG,America/Argentina/Cordoba,1594,4232,-113192,-231328,0,1,0,NO
SACC,LCM,,LA CUMBRE,LA CUMBRE,,ARG,America/Argentina/Cordoba,3734,4101,-111600,-232320,0,0,0,NO
SACD,,,CORONEL OLMEDO,CORONEL OLMEDO,,ARG,America/Argentina/Cordoba,1417,3937,-113340,-230940,0,0,0,NO
SACE,,,ESCUELA DE AVIACION MIL,CORDOBA,,ARG,America/Argentina/Cordoba,1646,5505,-113201,-231427,0,1,0,NO
SACO,COR,SAAR,ING AER A L V TARAVELLA,CORDOBA,,ARG,America/Argentina/Cordoba,1604,10499,-112716,-231150,1,1,1,NO
SADD,,,DON TORCUATO,BUENOS AIRES,,ARG,America/Argentina/Buenos_Aires,17,3609,-124192,-210980,0,1,0,NO
SADF,,SAEZ,SAN FERNANDO INTL,SAN FERNANDO,,ARG,America/Argentina/Buenos_Aires,10,5545,-124038,-210929,1,1,1,NO
SADJ,,,MARIANO MORENO,MARIANO MORENO,,ARG,America/Argentina/Buenos_Aires,105,7874,-124425,-211647,1,1,0,NO
SADL,LPG,,LA PLATA,LA PLATA,,ARG,America/Argentina/Buenos_Aires,69,4757,-125882,-208421,0,1,0,NO
SADM,,,MORON,MORON,,ARG,America/Argentina/Buenos_Aires,98,9350,-124755,-211118,0,1,0,NO
SADP,EPA,SAEZ,EL PALOMAR,BUENOS AIRES,,ARG,America/Argentina/Buenos_Aires,59,6923,-124595.7,-211005.4,1,1,0,NO
SADQ,,,QUILMES,QUILMES,,ARG,Etc/GMT+3,7,3347,-124961,-209661,0,0,0,NO
SADS,,,AEROCLUB ARGENTINO,SAN JUSTO,,ARG,America/Argentina/Buenos_Aires,62,2461,-125040,-210960,0,1,0,NO
SADZ,,,MATANZA,MATANZA,,ARG,America/Argentina/Buenos_Aires,10,3396,-125040,-210600,0,0,0,NO
SAEZ,EZE,SABE,EZEIZA INTL MINISTRO PISTARINI,BUENOS AIRES,,ARG,America/Argentina/Buenos_Aires,67,10827,-125360,-210729,1,1,1,NO
SAHR,GNR,,GENERAL ROCA,GENERAL ROCA,,ARG,America/Argentina/Salta,935,6893,-140340,-243360,0,1,0,NO
SALE,,,EST LAESTRELLA,EST LAESTRETTA,,ARG,America/Argentina/Buenos_Aires,459,3600,-135230,-211214,0,0,0,NO
SAMA,,,GENERAL ALVEAR,GENERAL ALVEAR,,ARG,America/Argentina/Mendoza,1490,4921,-126240,-243720,0,0,0,NO
SAME,MDZ,SCEL,EL PLUMERILLO,MENDOZA,,ARG,America/Argentina/Mendoza,2310,9301,-118194,-247654,1,1,1,NO
SAMM,LGS,,COM RICARDO SALOMON,MALARGUE,,ARG,America/Argentina/Mendoza,4692,8694,-127783,-250463,1,1,0,NO
SAMP,,,LA PAZ,LA PAZ,,ARG,America/Argentina/Cordoba,200,3543,-110820,-214560,0,0,0,NO
SAMR,AFA,,S.A. SANTIAGO GERMANO,SAN RAFAEL,,ARG,America/Argentina/Mendoza,2470,6923,-124548,-246205,1,1,0,NO
SANC,CTC,,CATAMARCA,CATAMARCA,,ARG,America/Argentina/Catamarca,1522,9186,-102935,-236704,1,1,0,NO
SANE,SDE,,VCOM ANGEL D. LA PAZ ARAGONEZ,SANTIAGO DEL ESTERO,,ARG,America/Argentina/Cordoba,656,7986,-99956.32,-231515.7,1,1,0,NO
SANI,,,TINOGASTA,TINOGASTA,,ARG,America/Argentina/Catamarca,3970,5249,-100980,-243300,0,0,0,NO
SANL,IRJ,,CAP VICENTE A ALMONACID,LA RIOJA,,ARG,America/Argentina/La_Rioja,1437,9383,-105770,-240465,1,1,0,NO
SANO,,,CHILECITO,CHILECITO,,ARG,America/Argentina/La_Rioja,3117,6890,-105240,-242760,0,0,0,NO
SANR,,,TERMAS DE RIO HONDO,TERMAS DE RIO HONDO,,ARG,America/Cordoba,920,8202,-98988,-233769,1,0,0,NO
SANT,TUC,SASA,BENJAMIN MATIENZO,TUCUMAN,,ARG,America/Argentina/Tucuman,1493,9514,-96627,-234377,1,1,1,NO
SANU,UAQ,,DOMINGO FAUSTINO SARMIENTO,SAN JUAN,,ARG,America/Argentina/San_Juan,1958,8071,-113657,-246306,1,1,0,NO
SANW,CRR,,CERES,CERES,,ARG,America/Argentina/Cordoba,285,4429,-107507,-222742,0,0,0,NO
